,ID,filename,x_min,y_min,x_max,y_max,class
0,1,001_000_output_img_001.png,1635,564,1701,622,smoke
1,2,001_000_output_img_011.png,1600,549,1714,621,smoke
2,3,001_000_output_img_021.png,1617,567,1706,621,smoke
3,4,001_000_output_img_031.png,1625,574,1707,625,smoke
4,5,001_000_output_img_041.png,1639,567,1707,625,smoke
5,6,001_000_output_img_051.png,1660,589,1709,618,smoke
6,7,001_000_output_img_061.png,1660,594,1694,621,smoke
7,8,001_000_output_img_071.png,1629,580,1703,621,smoke
8,9,001_000_output_img_082.png,1602,572,1712,623,smoke
9,10,001_000_output_img_092.png,1583,576,1729,624,smoke
10,11,001_000_output_img_102.png,1590,571,1721,625,smoke
11,12,001_000_output_img_112.png,1650,585,1713,627,smoke
12,13,001_000_output_img_122.png,1636,577,1698,623,smoke
13,14,001_000_output_img_132.png,1609,581,1694,617,smoke
14,15,001_000_output_img_142.png,1612,581,1701,618,smoke
15,14,002_000_output_img_001.png,388,427,749,499,smoke
16,15,002_000_output_img_011.png,376,389,776,495,smoke
17,16,002_000_output_img_020.png,398,387,778,496,smoke
18,17,002_000_output_img_030.png,394,386,745,490,smoke
19,18,002_000_output_img_039.png,401,385,753,490,smoke
20,19,002_000_output_img_049.png,392,380,769,491,smoke
21,20,002_000_output_img_058.png,395,379,782,488,smoke
22,21,002_000_output_img_068.png,393,382,777,492,smoke
23,22,002_000_output_img_077.png,389,384,786,494,smoke
24,23,002_000_output_img_087.png,394,380,801,492,smoke
25,24,002_000_output_img_096.png,395,383,790,492,smoke
26,25,002_000_output_img_106.png,383,391,751,503,smoke
27,26,002_000_output_img_115.png,392,393,778,492,smoke
28,27,002_000_output_img_125.png,415,400,789,504,smoke
29,28,002_000_output_img_134.png,392,382,803,492,smoke
30,14,004_000_output_img_001.png,516,439,902,491,smoke
31,15,004_000_output_img_011.png,508,445,904,495,smoke
32,16,004_000_output_img_021.png,467,446,843,529,smoke
33,17,004_000_output_img_031.png,508,444,917,515,smoke
34,18,004_000_output_img_041.png,478,444,865,516,smoke
35,19,004_000_output_img_051.png,507,444,846,504,smoke
36,20,004_000_output_img_061.png,507,444,840,521,smoke
37,21,004_000_output_img_071.png,508,451,695,504,smoke
38,22,004_000_output_img_082.png,499,448,710,508,smoke
39,23,004_000_output_img_092.png,510,426,712,495,smoke
40,24,004_000_output_img_102.png,513,425,715,495,smoke
41,25,004_000_output_img_112.png,511,426,715,498,smoke
42,26,004_000_output_img_122.png,515,426,715,497,smoke
43,27,004_000_output_img_132.png,509,451,675,495,smoke
44,28,004_000_output_img_142.png,503,448,797,497,smoke
45,14,120_000_output_img_001.png,534,217,611,296,smoke
46,15,120_000_output_img_025.png,534,217,611,296,smoke
47,16,120_000_output_img_050.png,534,217,611,296,smoke
48,17,120_000_output_img_074.png,534,217,611,296,smoke
49,18,120_000_output_img_098.png,534,217,611,296,smoke
50,19,120_000_output_img_123.png,534,217,611,296,smoke
51,20,120_000_output_img_147.png,534,217,611,296,smoke
52,21,120_000_output_img_171.png,534,217,611,296,smoke
53,22,120_000_output_img_196.png,534,217,611,296,smoke
54,23,120_000_output_img_220.png,534,217,611,296,smoke
55,24,120_000_output_img_244.png,534,217,611,296,smoke
56,25,120_000_output_img_269.png,534,217,611,296,smoke
57,26,120_000_output_img_293.png,534,217,611,296,smoke
58,27,120_000_output_img_317.png,534,217,611,296,smoke
59,28,120_000_output_img_342.png,534,217,611,296,smoke
60,14,121_000_output_img_001.png,428,211,505,275,smoke
61,15,121_000_output_img_030.png,428,211,505,275,smoke
62,16,121_000_output_img_059.png,428,211,505,275,smoke
63,17,121_000_output_img_088.png,428,211,505,275,smoke
64,18,121_000_output_img_117.png,428,211,505,275,smoke
65,19,121_000_output_img_146.png,428,211,505,275,smoke
66,20,121_000_output_img_175.png,428,211,505,275,smoke
67,21,121_000_output_img_204.png,428,211,505,275,smoke
68,22,121_000_output_img_233.png,428,211,505,275,smoke
69,23,121_000_output_img_262.png,428,211,505,275,smoke
70,24,121_000_output_img_291.png,428,211,505,275,smoke
71,25,121_000_output_img_320.png,428,211,505,275,smoke
72,26,121_000_output_img_349.png,428,211,505,275,smoke
73,27,121_000_output_img_378.png,428,211,505,275,smoke
74,28,121_000_output_img_407.png,428,211,505,275,smoke
75,14,122_000_output_img_001.png,702,260,905,433,smoke
76,15,122_000_output_img_028.png,702,260,905,433,smoke
77,16,122_000_output_img_055.png,702,260,905,433,smoke
78,17,122_000_output_img_082.png,702,260,905,433,smoke
79,18,122_000_output_img_109.png,702,260,905,433,smoke
80,19,122_000_output_img_136.png,702,260,905,433,smoke
81,20,122_000_output_img_163.png,702,260,905,433,smoke
82,21,122_000_output_img_190.png,702,260,905,433,smoke
83,22,122_000_output_img_216.png,702,260,905,433,smoke
84,23,122_000_output_img_243.png,702,260,905,433,smoke
85,24,122_000_output_img_270.png,702,260,905,433,smoke
86,25,122_000_output_img_297.png,702,260,905,433,smoke
87,26,122_000_output_img_324.png,702,260,905,433,smoke
88,27,122_000_output_img_351.png,702,260,905,433,smoke
89,28,122_000_output_img_378.png,702,260,905,433,smoke
90,14,123_000_output_img_001.png,531,320,640,390,smoke
91,15,123_000_output_img_051.png,531,320,640,390,smoke
92,16,123_000_output_img_101.png,531,320,640,390,smoke
93,17,123_000_output_img_152.png,531,320,640,390,smoke
94,18,123_000_output_img_202.png,507,313,640,390,smoke
95,19,123_000_output_img_252.png,507,313,640,390,smoke
96,20,123_000_output_img_302.png,507,313,640,390,smoke
97,21,123_000_output_img_352.png,507,313,640,390,smoke
98,22,123_000_output_img_403.png,507,313,640,390,smoke
99,23,123_000_output_img_453.png,507,313,640,390,smoke
100,24,123_000_output_img_503.png,507,313,640,390,smoke
101,25,123_000_output_img_553.png,495,296,640,390,smoke
102,26,123_000_output_img_603.png,495,296,640,390,smoke
103,27,123_000_output_img_654.png,495,296,640,390,smoke
104,14,130_000_output_img_001.png,254,164,892,594,smoke
105,15,130_000_output_img_020.png,254,164,892,594,smoke
106,16,130_000_output_img_039.png,254,164,892,594,smoke
107,17,130_000_output_img_057.png,254,164,892,594,smoke
108,18,130_000_output_img_076.png,254,164,892,594,smoke
109,19,130_000_output_img_095.png,254,164,892,594,smoke
110,20,130_000_output_img_114.png,254,164,892,594,smoke
111,21,130_000_output_img_133.png,254,164,892,594,smoke
112,22,130_000_output_img_151.png,254,164,892,594,smoke
113,23,130_000_output_img_170.png,254,164,892,594,smoke
114,24,130_000_output_img_189.png,254,164,892,594,smoke
115,25,130_000_output_img_208.png,254,164,892,594,smoke
116,26,130_000_output_img_227.png,254,164,892,594,smoke
117,27,130_000_output_img_245.png,254,164,892,594,smoke
118,28,130_000_output_img_264.png,254,164,892,594,smoke
119,14,131_000_output_img_001.png,279,54,956,370,smoke
120,15,131_000_output_img_018.png,279,54,956,370,smoke
121,16,131_000_output_img_035.png,279,54,956,370,smoke
122,17,131_000_output_img_052.png,279,54,956,370,smoke
123,18,131_000_output_img_068.png,279,54,956,370,smoke
124,19,131_000_output_img_085.png,279,54,956,370,smoke
125,20,131_000_output_img_102.png,279,54,956,370,smoke
126,21,131_000_output_img_119.png,279,54,956,370,smoke
